Productos,Pais,Ciudades,Precios,,,,,,,,,,,,,,,,,,,,,,,,Valor Promedio,Valor Maximo,Valor Minimo
Zapatos,Chile,Santiago,44562,44593,44621,44652,44682,44713,44743,44774,44805,44835,44866,44896,44927,44958,44986,45017,45047,45078,45108,45139,45170,45200,45231,45261,17543.75,18100,17000
Camiseta,Chile,Valparaiso,17000,17050,17100,17150,17200,17250,17300,17350,17400,17450,17500,17550,17600,17650,17700,17750,17800,17850,17900,17950,18000,18050,18100,17400,18543.75,19100,18000
Pantalones,Chile,Concepcion,18000,18050,18100,18150,18200,18250,18300,18350,18400,18450,18500,18550,18600,18650,18700,18750,18800,18850,18900,18950,19000,19050,19100,18400,19543.75,20100,19000
Gorra,Chile,Vina del Mar,19000,19050,19100,19150,19200,19250,19300,19350,19400,19450,19500,19550,19600,19650,19700,19750,19800,19850,19900,19950,20000,20050,20100,19400,20543.75,21100,20000
Reloj,Chile,La Serena,20000,20050,20100,20150,20200,20250,20300,20350,20400,20450,20500,20550,20600,20650,20700,20750,20800,20850,20900,20950,21000,21050,21100,20400,21543.75,22100,21000
Gafas de sol,Chile,Antofagasta,21000,21050,21100,21150,21200,21250,21300,21350,21400,21450,21500,21550,21600,21650,21700,21750,21800,21850,21900,21950,22000,22050,22100,21400,22543.75,23100,22000
Bolso,Chile,Temuco,22000,22050,22100,22150,22200,22250,22300,22350,22400,22450,22500,22550,22600,22650,22700,22750,22800,22850,22900,22950,23000,23050,23100,22400,23543.75,24100,23000
Bufanda,Chile,Valdivia,23000,23050,23100,23150,23200,23250,23300,23350,23400,23450,23500,23550,23600,23650,23700,23750,23800,23850,23900,23950,24000,24050,24100,23400,24543.75,25100,24000
Guantes,Chile,Arica,24000,24050,24100,24150,24200,24250,24300,24350,24400,24450,24500,24550,24600,24650,24700,24750,24800,24850,24900,24950,25000,25050,25100,24400,25543.75,26100,25000
Calcetines,Chile,Iquique,25000,25050,25100,25150,25200,25250,25300,25350,25400,25450,25500,25550,25600,25650,25700,25750,25800,25850,25900,25950,26000,26050,26100,25400,26543.75,27100,26000
Chaqueta,Chile,Talca,26000,26050,26100,26150,26200,26250,26300,26350,26400,26450,26500,26550,26600,26650,26700,26750,26800,26850,26900,26950,27000,27050,27100,26400,27543.75,28100,27000
Vestido,Chile,Rancagua,27000,27050,27100,27150,27200,27250,27300,27350,27400,27450,27500,27550,27600,27650,27700,27750,27800,27850,27900,27950,28000,28050,28100,27400,28543.75,29100,28000
Falda,Chile,Puerto Montt,28000,28050,28100,28150,28200,28250,28300,28350,28400,28450,28500,28550,28600,28650,28700,28750,28800,28850,28900,28950,29000,29050,29100,28400,29543.75,30100,29000
Sombrero,Chile,Chillan,29000,29050,29100,29150,29200,29250,29300,29350,29400,29450,29500,29550,29600,29650,29700,29750,29800,29850,29900,29950,30000,30050,30100,29400,30543.75,31100,30000
Corbata,Chile,Osorno,30000,30050,30100,30150,30200,30250,30300,30350,30400,30450,30500,30550,30600,30650,30700,30750,30800,30850,30900,30950,31000,31050,31100,30400,31543.75,32100,31000
Traje de bano,Chile,Calama,31000,31050,31100,31150,31200,31250,31300,31350,31400,31450,31500,31550,31600,31650,31700,31750,31800,31850,31900,31950,32000,32050,32100,31400,32543.75,33100,32000
Bikini,Chile,Copiapo,32000,32050,32100,32150,32200,32250,32300,32350,32400,32450,32500,32550,32600,32650,32700,32750,32800,32850,32900,32950,33000,33050,33100,32400,17543.75,18100,17000
Sandalias,Chile,Punta Arenas,17000,17050,17100,17150,17200,17250,17300,17350,17400,17450,17500,17550,17600,17650,17700,17750,17800,17850,17900,17950,18000,18050,18100,17400,18543.75,19100,18000
Botas,Chile,Quilpue,18000,18050,18100,18150,18200,18250,18300,18350,18400,18450,18500,18550,18600,18650,18700,18750,18800,18850,18900,18950,19000,19050,19100,18400,19543.75,20100,19000
Zapatillas,Chile,Los Angeles,19000,19050,19100,19150,19200,19250,19300,19350,19400,19450,19500,19550,19600,19650,19700,19750,19800,19850,19900,19950,20000,20050,20100,19400,20543.75,21100,20000
Mochila,Chile,San Bernardo,20000,20050,20100,20150,20200,20250,20300,20350,20400,20450,20500,20550,20600,20650,20700,20750,20800,20850,20900,20950,21000,21050,21100,20400,21543.75,22100,21000
Maleta,Chile,Coquimbo,21000,21050,21100,21150,21200,21250,21300,21350,21400,21450,21500,21550,21600,21650,21700,21750,21800,21850,21900,21950,22000,22050,22100,21400,22543.75,23100,22000
Cinturon,Chile,La Pintana,22000,22050,22100,22150,22200,22250,22300,22350,22400,22450,22500,22550,22600,22650,22700,22750,22800,22850,22900,22950,23000,23050,23100,22400,23543.75,24100,23000
Collar,Chile,Talcahuano,23000,23050,23100,23150,23200,23250,23300,23350,23400,23450,23500,23550,23600,23650,23700,23750,23800,23850,23900,23950,24000,24050,24100,23400,24543.75,25100,24000
Pulsera,Chile,San Antonio,24000,24050,24100,24150,24200,24250,24300,24350,24400,24450,24500,24550,24600,24650,24700,24750,24800,24850,24900,24950,25000,25050,25100,24400,25543.75,26100,25000
Anillo,Chile,Curico,25000,25050,25100,25150,25200,25250,25300,25350,25400,25450,25500,25550,25600,25650,25700,25750,25800,25850,25900,25950,26000,26050,26100,25400,26543.75,27100,26000
Pendientes,Chile,Ovalle,26000,26050,26100,26150,26200,26250,26300,26350,26400,26450,26500,26550,26600,26650,26700,26750,26800,26850,26900,26950,27000,27050,27100,26400,27543.75,28100,27000
Perfume,Chile,Coronel,27000,27050,27100,27150,27200,27250,27300,27350,27400,27450,27500,27550,27600,27650,27700,27750,27800,27850,27900,27950,28000,28050,28100,27400,28543.75,29100,28000
