Mes,Ano,Productos,Pais,Ciudades,Precios,Valor Promedio,Valor Maximo,Valor Minimo
Enero,2022,Zapatos,Chile,Santiago,44562,44911,45261,44562
Febreo,2022,Zapatos,Chile,Valparaiso,44593,,,
Marzo,2022,Zapatos,Chile,Concepcion,44621,,,
Abril,2022,Zapatos,Chile,Vina del Mar,44652,,,
Mayo,2022,Zapatos,Chile,La Serena,44682,,,
Junio,2022,Zapatos,Chile,Antofagasta,44713,,,
Julio,2022,Zapatos,Chile,Temuco,44743,,,
Agosto,2022,Zapatos,Chile,Valdivia,44774,,,
Septiembre,2022,Zapatos,Chile,Arica,44805,,,
Octubre,2022,Zapatos,Chile,Iquique,44835,,,
Noviembre,2022,Zapatos,Chile,Talca,44866,,,
Diciembre,2022,Zapatos,Chile,Rancagua,44896,,,
Enero,2023,Zapatos,Chile,Puerto Montt,44927,,,
Febreo,2023,Zapatos,Chile,Chillan,44958,,,
Marzo,2023,Zapatos,Chile,Osorno,44986,,,
Abril,2023,Zapatos,Chile,Calama,45017,,,
Mayo,2023,Zapatos,Chile,Copiapo,45047,,,
Junio,2023,Zapatos,Chile,Punta Arenas,45078,,,
Julio,2023,Zapatos,Chile,Quilpu,45108,,,
Agosto,2023,Zapatos,Chile,Los Angeles,45139,,,
Septiembre,2023,Zapatos,Chile,San Bernardo,45170,,,
Octubre,2023,Zapatos,Chile,Coquimbo,45200,,,
Noviembre,2023,Zapatos,Chile,La Pintana,45231,,,
Diciembre,2023,Zapatos,Chile,Talcahuano,45261,,,
